,Median Age,Population,Poverty Count,Household Income,Per Capita Income,Median Home Rent,Median Monthly Owner Costs,Name,Zipcode
30835,69.6,116.0,10.0,26280.0,16139.0,,,ZCTA5 93554,93554
30836,36.4,32376.0,4515.0,61221.0,28697.0,841.0,1380.0,ZCTA5 93555,93555
30837,53.7,249.0,18.0,24306.0,18851.0,,,ZCTA5 93558,93558
30838,33.2,19371.0,3399.0,59142.0,22855.0,1013.0,1514.0,ZCTA5 93560,93560
30839,39.3,34851.0,3665.0,57433.0,24708.0,891.0,1641.0,ZCTA5 93561,93561
30840,39.8,1877.0,515.0,31645.0,22791.0,599.0,842.0,ZCTA5 93562,93562
30841,55.7,344.0,42.0,85250.0,29762.0,,1875.0,ZCTA5 93563,93563
30842,30.9,6483.0,1706.0,41972.0,18910.0,1157.0,1340.0,ZCTA5 93591,93591
30843,,16.0,16.0,,,,,ZCTA5 93592,93592
30844,42.3,2050.0,108.0,53594.0,30718.0,929.0,2232.0,ZCTA5 93601,93601
30845,48.0,4074.0,478.0,58168.0,28193.0,775.0,1552.0,ZCTA5 93602,93602
30846,63.5,271.0,87.0,36875.0,33137.0,,1306.0,ZCTA5 93603,93603
30847,45.5,967.0,138.0,60652.0,31976.0,1299.0,1730.0,ZCTA5 93604,93604
30848,49.2,243.0,4.0,84375.0,34293.0,671.0,1188.0,ZCTA5 93605,93605
30849,25.0,424.0,140.0,23750.0,10792.0,99.0,681.0,ZCTA5 93606,93606
30850,30.9,804.0,306.0,30523.0,9270.0,849.0,770.0,ZCTA5 93608,93608
30851,26.0,6282.0,1568.0,47361.0,15298.0,885.0,1310.0,ZCTA5 93609,93609
30852,35.7,24206.0,4430.0,40327.0,13566.0,891.0,1564.0,ZCTA5 93610,93610
30853,36.3,47559.0,4197.0,78482.0,29960.0,1362.0,1890.0,ZCTA5 93611,93611
30854,31.1,34415.0,7939.0,39801.0,18678.0,889.0,1443.0,ZCTA5 93612,93612
30855,46.7,11245.0,1851.0,46551.0,26736.0,1064.0,1762.0,ZCTA5 93614,93614
30856,23.8,6135.0,2775.0,27525.0,9566.0,683.0,1239.0,ZCTA5 93615,93615
30857,32.8,2455.0,805.0,31108.0,15342.0,552.0,1183.0,ZCTA5 93616,93616
30858,28.8,29022.0,8377.0,38110.0,13752.0,760.0,1322.0,ZCTA5 93618,93618
30859,38.5,29476.0,1306.0,106235.0,42445.0,1699.0,2520.0,ZCTA5 93619,93619
30860,32.4,9825.0,3605.0,34579.0,13805.0,708.0,1208.0,ZCTA5 93620,93620
30861,62.3,316.0,144.0,32014.0,32774.0,,,ZCTA5 93621,93621
30862,25.6,9558.0,3238.0,32865.0,13528.0,655.0,1214.0,ZCTA5 93622,93622
30863,46.7,51.0,0.0,23269.0,16722.0,,,ZCTA5 93623,93623
30864,28.5,1377.0,569.0,34676.0,10128.0,540.0,1806.0,ZCTA5 93624,93624
30865,32.8,7049.0,1651.0,45230.0,21272.0,815.0,1603.0,ZCTA5 93625,93625
30866,57.2,773.0,36.0,32560.0,40340.0,392.0,2527.0,ZCTA5 93626,93626
30867,18.5,51.0,0.0,,6167.0,,,ZCTA5 93627,93627
30868,48.4,240.0,41.0,58977.0,21629.0,,,ZCTA5 93628,93628
30869,30.3,18407.0,4738.0,48115.0,17243.0,799.0,1540.0,ZCTA5 93630,93630
30870,33.7,16576.0,3033.0,55266.0,23565.0,826.0,1614.0,ZCTA5 93631,93631
30871,,0.0,0.0,,,,,ZCTA5 93633,93633
30872,56.2,24.0,13.0,,22521.0,,,ZCTA5 93634,93634
30873,30.5,38929.0,9453.0,46933.0,17620.0,1045.0,1527.0,ZCTA5 93635,93635
30874,43.4,11341.0,1033.0,74538.0,30534.0,1394.0,1986.0,ZCTA5 93636,93636
30875,29.5,40515.0,8124.0,48974.0,17449.0,971.0,1502.0,ZCTA5 93637,93637
30876,26.6,48805.0,15304.0,37280.0,12745.0,820.0,1318.0,ZCTA5 93638,93638
30877,27.4,11902.0,5364.0,25019.0,8974.0,635.0,1114.0,ZCTA5 93640,93640
30878,31.8,598.0,39.0,33622.0,17783.0,,1625.0,ZCTA5 93641,93641
30879,48.2,2674.0,236.0,41875.0,23082.0,740.0,2025.0,ZCTA5 93643,93643
30880,56.1,7308.0,1060.0,43376.0,26487.0,1103.0,1635.0,ZCTA5 93644,93644
30881,45.6,606.0,8.0,61589.0,16305.0,,1716.0,ZCTA5 93645,93645
30882,24.8,10785.0,5173.0,27906.0,10118.0,686.0,1097.0,ZCTA5 93646,93646
30883,24.4,12320.0,4599.0,33205.0,9742.0,622.0,1197.0,ZCTA5 93647,93647
30884,25.7,15648.0,5445.0,35499.0,11259.0,734.0,1186.0,ZCTA5 93648,93648
30885,32.8,3428.0,1099.0,30205.0,14429.0,991.0,1220.0,ZCTA5 93650,93650
