,Median Age,Total Population,Poverty Count,Median Household Income,Per Capita Income,employment_employed,employment_unemployed,median_gross_rent,median_monthly_owner_costs,Name,Zipcode
18502,33.5,27535.0,5740.0,43835.0,22585.0,13772.0,926.0,867.0,1363.0,ZCTA5 55429,55429
18503,31.3,23338.0,4040.0,47422.0,22295.0,10991.0,830.0,974.0,1272.0,ZCTA5 55430,55430
18504,44.6,18308.0,1389.0,71736.0,39485.0,9784.0,343.0,1084.0,1629.0,ZCTA5 55431,55431
18505,37.4,30043.0,3456.0,56046.0,28099.0,15353.0,981.0,914.0,1378.0,ZCTA5 55432,55432
18506,37.0,34428.0,3501.0,61332.0,29022.0,18925.0,975.0,1018.0,1283.0,ZCTA5 55433,55433
18507,37.9,29015.0,2041.0,64417.0,28511.0,15853.0,934.0,958.0,1342.0,ZCTA5 55434,55434
18508,45.4,13449.0,746.0,65538.0,52042.0,6662.0,192.0,1266.0,1873.0,ZCTA5 55435,55435
18509,47.3,12527.0,608.0,93278.0,69627.0,6097.0,253.0,1335.0,2372.0,ZCTA5 55436,55436
18510,44.3,18309.0,894.0,70578.0,41164.0,10102.0,254.0,1006.0,1766.0,ZCTA5 55437,55437
18511,47.5,16195.0,536.0,81702.0,49328.0,9092.0,345.0,1144.0,1810.0,ZCTA5 55438,55438
18512,48.2,8875.0,300.0,122054.0,65755.0,3966.0,181.0,1115.0,2646.0,ZCTA5 55439,55439
18513,39.7,18294.0,1441.0,72913.0,45225.0,10812.0,253.0,1073.0,1878.0,ZCTA5 55441,55441
18514,44.5,13075.0,703.0,94946.0,52956.0,8013.0,202.0,1345.0,2054.0,ZCTA5 55442,55442
18515,33.7,32532.0,2362.0,78167.0,31024.0,16619.0,958.0,1081.0,1752.0,ZCTA5 55443,55443
18516,34.0,15696.0,926.0,73496.0,26106.0,8474.0,428.0,1134.0,1430.0,ZCTA5 55444,55444
18517,35.5,11067.0,730.0,80118.0,31655.0,5617.0,274.0,1385.0,1512.0,ZCTA5 55445,55445
18518,39.3,22811.0,830.0,102583.0,51633.0,11544.0,369.0,1323.0,2116.0,ZCTA5 55446,55446
18519,39.9,21240.0,1092.0,85328.0,47636.0,11278.0,489.0,1190.0,1855.0,ZCTA5 55447,55447
18520,39.7,27731.0,1835.0,72495.0,32703.0,14743.0,946.0,1147.0,1488.0,ZCTA5 55448,55448
18521,36.1,27560.0,1109.0,102471.0,43448.0,14937.0,426.0,1408.0,1723.0,ZCTA5 55449,55449
18522,-666666666.0,0.0,0.0,-666666666.0,-666666666.0,0.0,0.0,-666666666.0,-666666666.0,ZCTA5 55450,55450
18523,22.0,8621.0,3076.0,19198.0,12319.0,3631.0,420.0,539.0,1246.0,ZCTA5 55454,55454
18524,19.7,1029.0,0.0,-666666666.0,4431.0,414.0,100.0,-666666666.0,-666666666.0,ZCTA5 55455,55455
18525,62.6,70.0,5.0,60625.0,31513.0,21.0,1.0,-666666666.0,1650.0,ZCTA5 55601,55601
18526,57.1,176.0,21.0,32344.0,29241.0,82.0,6.0,-666666666.0,913.0,ZCTA5 55602,55602
18527,55.7,595.0,105.0,46200.0,29956.0,219.0,46.0,629.0,1129.0,ZCTA5 55603,55603
18528,55.1,3106.0,307.0,56667.0,35360.0,1534.0,34.0,652.0,1421.0,ZCTA5 55604,55604
18529,40.3,621.0,119.0,43000.0,22855.0,305.0,24.0,702.0,781.0,ZCTA5 55605,55605
18530,59.7,252.0,35.0,43000.0,25366.0,94.0,0.0,-666666666.0,1517.0,ZCTA5 55606,55606
18531,55.4,141.0,19.0,53125.0,27718.0,73.0,0.0,-666666666.0,1313.0,ZCTA5 55607,55607
18532,48.3,257.0,0.0,-666666666.0,45354.0,176.0,0.0,-666666666.0,-666666666.0,ZCTA5 55609,55609
18533,37.8,819.0,129.0,53333.0,32559.0,552.0,6.0,-666666666.0,1675.0,ZCTA5 55612,55612
18534,56.4,194.0,5.0,50000.0,38026.0,112.0,1.0,-666666666.0,1250.0,ZCTA5 55613,55613
18535,54.8,2355.0,190.0,44782.0,28385.0,941.0,66.0,647.0,1042.0,ZCTA5 55614,55614
18536,62.0,223.0,22.0,43355.0,28966.0,112.0,2.0,745.0,1667.0,ZCTA5 55615,55615
18537,45.5,7028.0,932.0,53871.0,31490.0,3406.0,96.0,720.0,1268.0,ZCTA5 55616,55616
18538,43.9,542.0,11.0,70357.0,30657.0,281.0,14.0,1125.0,1492.0,ZCTA5 55702,55702
18539,48.9,710.0,83.0,41429.0,28640.0,326.0,9.0,541.0,1208.0,ZCTA5 55703,55703
18540,39.5,1107.0,141.0,45417.0,22698.0,463.0,24.0,407.0,1193.0,ZCTA5 55704,55704
